PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
86580,20190906,NVDA,NVIDIA CORP,178.64999,-0.006064,4
86580,20190909,NVDA,NVIDIA CORP,180.50000,0.010355,4
86580,20190910,NVDA,NVIDIA CORP,183.17999,0.014848,4
86580,20190911,NVDA,NVIDIA CORP,184.33000,0.006278,4
86580,20190912,NVDA,NVIDIA CORP,184.27000,-0.000325,4
86580,20190913,NVDA,NVIDIA CORP,181.94000,-0.012644,4
86580,20190916,NVDA,NVIDIA CORP,180.21001,-0.009509,4
86580,20190917,NVDA,NVIDIA CORP,181.07001,0.004772,4
86580,20190918,NVDA,NVIDIA CORP,179.98000,-0.006020,4
86580,20190919,NVDA,NVIDIA CORP,176.94000,-0.016891,4
86580,20190920,NVDA,NVIDIA CORP,172.69000,-0.024019,4
86580,20190923,NVDA,NVIDIA CORP,174.84000,0.012450,4
86580,20190924,NVDA,NVIDIA CORP,172.53000,-0.013212,4
86580,20190925,NVDA,NVIDIA CORP,178.23000,0.033038,4
86580,20190926,NVDA,NVIDIA CORP,177.34000,-0.004994,4
86580,20190927,NVDA,NVIDIA CORP,171.75999,-0.031465,4
86580,20190930,NVDA,NVIDIA CORP,174.07001,0.013449,4
86580,20191001,NVDA,NVIDIA CORP,174.00000,-0.000402,4
86580,20191002,NVDA,NVIDIA CORP,173.03999,-0.005517,4
86580,20191003,NVDA,NVIDIA CORP,181.31000,0.047792,4
86580,20191004,NVDA,NVIDIA CORP,181.97000,0.003640,4
86580,20191007,NVDA,NVIDIA CORP,184.33000,0.012969,4
86580,20191008,NVDA,NVIDIA CORP,177.23000,-0.038518,4
86580,20191009,NVDA,NVIDIA CORP,180.71001,0.019636,4
86580,20191010,NVDA,NVIDIA CORP,183.03000,0.012838,4
86580,20191011,NVDA,NVIDIA CORP,185.99001,0.016172,4
86580,20191014,NVDA,NVIDIA CORP,186.53000,0.002903,4
86580,20191015,NVDA,NVIDIA CORP,196.37000,0.052753,4
